url,price,type,available_from,payment_method,size_sqm,has_maid,is_studio,bedrooms_count,bathrooms_count,governorate,city
https://www.propertyfinder.eg/en/plp/buy/chalet-for-sale-red-sea-hurghada-al-gouna-swan-lake-gouna-7841194.html,8000000.0,Chalet,2025-08-31,Cash,68.0,Yes,No,1.0,1.0,Red Sea,Hurghada
https://www.propertyfinder.eg/en/plp/buy/villa-for-sale-giza-sheikh-zayed-city-new-zayed-city-karmell-7855294.html,25000000.0,Villa,2025-09-02,Cash,220.0,No,No,4.0,4.0,Giza,Sheikh Zayed City
https://www.propertyfinder.eg/en/plp/buy/chalet-for-sale-north-coast-ras-al-hekma-azha-north-7779188.html,15135000.0,Chalet,2025-08-19,Cash,118.0,No,No,2.0,2.0,North Coast,Ras Al Hekma
https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-taj-city-7817046.html,12652000.0,Apartment,2025-08-26,Installments,166.0,No,No,3.0,2.0,Cairo,New Cairo City
https://www.propertyfinder.eg/en/plp/buy/villa-for-sale-cairo-new-capital-city-granville-7854525.html,45250000.0,Villa,2025-09-02,Cash,400.0,No,No,7.0,7.0,Cairo,New Capital City
https://www.propertyfinder.eg/en/plp/buy/chalet-for-sale-north-coast-al-alamein-marina-marina-5-7813404.html,19760000.0,Chalet,2025-08-26,Installments,126.0,No,No,3.0,2.0,North Coast,Al Alamein
https://www.propertyfinder.eg/en/plp/buy/penthouse-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-the-icon-residence-7513224.html,9000000.0,Penthouse,2025-07-03,Installments,262.0,No,No,4.0,5.0,Cairo,New Cairo City
https://www.propertyfinder.eg/en/plp/buy/villa-for-sale-giza-6-october-city-northern-expansions-nyoum-october-7819535.html,2770000.0,Villa,2025-08-26,Cash,370.0,Yes,No,5.0,5.0,Giza,6 October City
https://www.propertyfinder.eg/en/plp/buy/twin-house-for-sale-north-coast-ras-al-hekma-la-vista-ras-el-hikma-7809871.html,13200000.0,Twin House,2025-08-25,Cash,220.0,No,No,3.0,3.0,North Coast,Ras Al Hekma
https://www.propertyfinder.eg/en/plp/buy/duplex-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-azad-7789041.html,22300000.0,Duplex,2025-08-07,Installments,195.0,Yes,No,3.0,2.0,Cairo,New Cairo City
https://www.propertyfinder.eg/en/plp/buy/ivilla-for-sale-giza-sheikh-zayed-city-new-zayed-city-jirian-7308399.html,5000000.0,iVilla,,Installments,220.0,Yes,No,3.0,4.0,Giza,Sheikh Zayed City
https://www.propertyfinder.eg/en/plp/buy/chalet-for-sale-red-sea-hurghada-al-gouna-mangroovy-residence-7841378.html,9300000.0,Chalet,2025-08-31,Cash,75.0,Yes,No,1.0,2.0,Red Sea,Hurghada
